Kecamatan,Tahun,Jenis,RTP,Produksi (Ton)
Johan Pahlawan,2020,Perairan Laut,2000,10210650
Samatiga,2020,Perairan Laut,580,5048470
Bubon,2020,Perairan Laut,42,0
Arongan Lambalek,2020,Perairan Laut,242,845500
Woyla,2020,Perairan Laut,0,0
Woyla Barat,2020,Perairan Laut,0,0
Woyla Timur,2020,Perairan Laut,0,0
Kaway XVI,2020,Perairan Laut,13,0
Meureubo,2020,Perairan Laut,623,3280780
Pante Ceureumen,2020,Perairan Laut,0,0
Panton Reu,2020,Perairan Laut,0,0
Sungai Mas,2020,Perairan Laut,0,0
Johan Pahlawan,2020,Perairan Umum,75,332680
Samatiga,2020,Perairan Umum,40,67300
Bubon,2020,Perairan Umum,18,210
Arongan Lambalek,2020,Perairan Umum,15,17570
Woyla,2020,Perairan Umum,15,1390
Woyla Barat,2020,Perairan Umum,50,930
Woyla Timur,2020,Perairan Umum,15,210
Kaway XVI,2020,Perairan Umum,30,3140
Meureubo,2020,Perairan Umum,16,8900
Pante Ceureumen,2020,Perairan Umum,22,4030
Panton Reu,2020,Perairan Umum,21,2010
Sungai Mas,2020,Perairan Umum,25,2010
Johan Pahlawan,2021,Perairan Laut,2003,10385760
Samatiga,2021,Perairan Laut,583,5323470
Bubon,2021,Perairan Laut,44,0
Arongan Lambalek,2021,Perairan Laut,243,885500
Woyla,2021,Perairan Laut,0,0
Woyla Barat,2021,Perairan Laut,0,0
Woyla Timur,2021,Perairan Laut,0,0
Kaway XVI,2021,Perairan Laut,14,0
Meureubo,2021,Perairan Laut,624,3221780
Pante Ceureumen,2021,Perairan Laut,0,0
Panton Reu,2021,Perairan Laut,0,0
Sungai Mas,2021,Perairan Laut,0,0
Johan Pahlawan,2021,Perairan Umum,75,353200
Samatiga,2021,Perairan Umum,40,75000
Bubon,2021,Perairan Umum,18,1200
Arongan Lambalek,2021,Perairan Umum,15,20200
Woyla,2021,Perairan Umum,16,2000
Woyla Barat,2021,Perairan Umum,51,1300
Woyla Timur,2021,Perairan Umum,15,1500
Kaway XVI,2021,Perairan Umum,30,4320
Meureubo,2021,Perairan Umum,16,10300
Pante Ceureumen,2021,Perairan Umum,22,5060
Panton Reu,2021,Perairan Umum,23,5000
Sungai Mas,2021,Perairan Umum,25,5200
Johan Pahlawan,2022,Perairan Laut,2017,10655789.76
Samatiga,2022,Perairan Laut,588,5461880.22
Bubon,2022,Perairan Laut,47,0
Arongan Lambalek,2022,Perairan Laut,244,908523
Woyla,2022,Perairan Laut,0,0
Woyla Barat,2022,Perairan Laut,0,0
Woyla Timur,2022,Perairan Laut,0,0
Kaway XVI,2022,Perairan Laut,15,0
Meureubo,2022,Perairan Laut,630,3305546.28
Pante Ceureumen,2022,Perairan Laut,0,0
Panton Reu,2022,Perairan Laut,0,0
Sungai Mas,2022,Perairan Laut,0,0
Johan Pahlawan,2022,Perairan Umum,73,356732
Samatiga,2022,Perairan Umum,43,76500
Bubon,2022,Perairan Umum,18,1224
Arongan Lambalek,2022,Perairan Umum,15,20604
Woyla,2022,Perairan Umum,16,2040
Woyla Barat,2022,Perairan Umum,51,1326
Woyla Timur,2022,Perairan Umum,15,1530
Kaway XVI,2022,Perairan Umum,30,4406.4
Meureubo,2022,Perairan Umum,16,10506
Pante Ceureumen,2022,Perairan Umum,25,5161.2
Panton Reu,2022,Perairan Umum,21,5100
Sungai Mas,2022,Perairan Umum,23,5304
