Kecamatan,Tahun,Jenis,Jumlah
Johan Pahlawan,2020,Perahu tanpa motor,13
Samatiga,2020,Perahu tanpa motor,55
Bubon,2020,Perahu tanpa motor,15
Arongan Lambalek,2020,Perahu tanpa motor,47
Woyla,2020,Perahu tanpa motor,25
Woyla Barat,2020,Perahu tanpa motor,184
Woyla Timur,2020,Perahu tanpa motor,35
Kaway XVI,2020,Perahu tanpa motor,45
Meureubo,2020,Perahu tanpa motor,37
Pante Ceureumen,2020,Perahu tanpa motor,25
Panton Reu,2020,Perahu tanpa motor,15
Sungai Mas,2020,Perahu tanpa motor,15
Johan Pahlawan,2020,Perahu motor tempel,0
Samatiga,2020,Perahu motor tempel,33
Bubon,2020,Perahu motor tempel,0
Arongan Lambalek,2020,Perahu motor tempel,0
Woyla,2020,Perahu motor tempel,0
Woyla Barat,2020,Perahu motor tempel,0
Woyla Timur,2020,Perahu motor tempel,0
Kaway XVI,2020,Perahu motor tempel,0
Meureubo,2020,Perahu motor tempel,0
Pante Ceureumen,2020,Perahu motor tempel,0
Panton Reu,2020,Perahu motor tempel,0
Sungai Mas,2020,Perahu motor tempel,0
Johan Pahlawan,2020,Kapal motor,453
Samatiga,2020,Kapal motor,131
Bubon,2020,Kapal motor,1
Arongan Lambalek,2020,Kapal motor,0
Woyla,2020,Kapal motor,0
Woyla Barat,2020,Kapal motor,0
Woyla Timur,2020,Kapal motor,0
Kaway XVI,2020,Kapal motor,5
Meureubo,2020,Kapal motor,108
Pante Ceureumen,2020,Kapal motor,0
Panton Reu,2020,Kapal motor,0
Sungai Mas,2020,Kapal motor,0
Johan Pahlawan,2021,Perahu tanpa motor,12
Samatiga,2021,Perahu tanpa motor,54
Bubon,2021,Perahu tanpa motor,15
Arongan Lambalek,2021,Perahu tanpa motor,47
Woyla,2021,Perahu tanpa motor,25
Woyla Barat,2021,Perahu tanpa motor,184
Woyla Timur,2021,Perahu tanpa motor,35
Kaway XVI,2021,Perahu tanpa motor,52
Meureubo,2021,Perahu tanpa motor,37
Pante Ceureumen,2021,Perahu tanpa motor,25
Panton Reu,2021,Perahu tanpa motor,17
Sungai Mas,2021,Perahu tanpa motor,15
Johan Pahlawan,2021,Perahu motor tempel,0
Samatiga,2021,Perahu motor tempel,35
Bubon,2021,Perahu motor tempel,0
Arongan Lambalek,2021,Perahu motor tempel,0
Woyla,2021,Perahu motor tempel,0
Woyla Barat,2021,Perahu motor tempel,0
Woyla Timur,2021,Perahu motor tempel,0
Kaway XVI,2021,Perahu motor tempel,0
Meureubo,2021,Perahu motor tempel,0
Pante Ceureumen,2021,Perahu motor tempel,0
Panton Reu,2021,Perahu motor tempel,0
Sungai Mas,2021,Perahu motor tempel,0
Johan Pahlawan,2021,Kapal motor,456
Samatiga,2021,Kapal motor,133
Bubon,2021,Kapal motor,2
Arongan Lambalek,2021,Kapal motor,0
Woyla,2021,Kapal motor,0
Woyla Barat,2021,Kapal motor,0
Woyla Timur,2021,Kapal motor,0
Kaway XVI,2021,Kapal motor,6
Meureubo,2021,Kapal motor,110
Pante Ceureumen,2021,Kapal motor,0
Panton Reu,2021,Kapal motor,0
Sungai Mas,2021,Kapal motor,0
Johan Pahlawan,2022,Perahu tanpa motor,11
Samatiga,2022,Perahu tanpa motor,54
Bubon,2022,Perahu tanpa motor,16
Arongan Lambalek,2022,Perahu tanpa motor,47
Woyla,2022,Perahu tanpa motor,25
Woyla Barat,2022,Perahu tanpa motor,188
Woyla Timur,2022,Perahu tanpa motor,35
Kaway XVI,2022,Perahu tanpa motor,52
Meureubo,2022,Perahu tanpa motor,37
Pante Ceureumen,2022,Perahu tanpa motor,25
Panton Reu,2022,Perahu tanpa motor,17
Sungai Mas,2022,Perahu tanpa motor,15
Johan Pahlawan,2022,Perahu motor tempel,0
Samatiga,2022,Perahu motor tempel,35
Bubon,2022,Perahu motor tempel,0
Arongan Lambalek,2022,Perahu motor tempel,0
Woyla,2022,Perahu motor tempel,0
Woyla Barat,2022,Perahu motor tempel,0
Woyla Timur,2022,Perahu motor tempel,0
Kaway XVI,2022,Perahu motor tempel,0
Meureubo,2022,Perahu motor tempel,0
Pante Ceureumen,2022,Perahu motor tempel,0
Panton Reu,2022,Perahu motor tempel,0
Sungai Mas,2022,Perahu motor tempel,0
Johan Pahlawan,2022,Kapal motor,469
Samatiga,2022,Kapal motor,135
Bubon,2022,Kapal motor,2
Arongan Lambalek,2022,Kapal motor,0
Woyla,2022,Kapal motor,0
Woyla Barat,2022,Kapal motor,0
Woyla Timur,2022,Kapal motor,0
Kaway XVI,2022,Kapal motor,8
Meureubo,2022,Kapal motor,111
Pante Ceureumen,2022,Kapal motor,1
Panton Reu,2022,Kapal motor,0
Sungai Mas,2022,Kapal motor,0
