Kecamatan,Tahun,Alat Tangkap,Jumlah
Johan Pahlawan,2020,Pukat Payang,12
Samatiga,2020,Pukat Payang,0
Bubon,2020,Pukat Payang,0
Arongan Lambalek,2020,Pukat Payang,0
Woyla,2020,Pukat Payang,0
Woyla Barat,2020,Pukat Payang,0
Woyla Timur,2020,Pukat Payang,0
Kaway XVI,2020,Pukat Payang,0
Meureubo,2020,Pukat Payang,0
Pante Ceureumen,2020,Pukat Payang,0
Panton Reu,2020,Pukat Payang,0
Sungai Mas,2020,Pukat Payang,0
Johan Pahlawan,2020,Pukat Pantai,8
Samatiga,2020,Pukat Pantai,2
Bubon,2020,Pukat Pantai,0
Arongan Lambalek,2020,Pukat Pantai,0
Woyla,2020,Pukat Pantai,0
Woyla Barat,2020,Pukat Pantai,0
Woyla Timur,2020,Pukat Pantai,0
Kaway XVI,2020,Pukat Pantai,0
Meureubo,2020,Pukat Pantai,0
Pante Ceureumen,2020,Pukat Pantai,0
Panton Reu,2020,Pukat Pantai,0
Sungai Mas,2020,Pukat Pantai,0
Johan Pahlawan,2020,Jaring Hanyut,26
Samatiga,2020,Jaring Hanyut,110
Bubon,2020,Jaring Hanyut,30
Arongan Lambalek,2020,Jaring Hanyut,94
Woyla,2020,Jaring Hanyut,50
Woyla Barat,2020,Jaring Hanyut,368
Woyla Timur,2020,Jaring Hanyut,70
Kaway XVI,2020,Jaring Hanyut,90
Meureubo,2020,Jaring Hanyut,74
Pante Ceureumen,2020,Jaring Hanyut,50
Panton Reu,2020,Jaring Hanyut,30
Sungai Mas,2020,Jaring Hanyut,30
Johan Pahlawan,2020,Jaring Klitik,60
Samatiga,2020,Jaring Klitik,240
Bubon,2020,Jaring Klitik,0
Arongan Lambalek,2020,Jaring Klitik,0
Woyla,2020,Jaring Klitik,0
Woyla Barat,2020,Jaring Klitik,370
Woyla Timur,2020,Jaring Klitik,0
Kaway XVI,2020,Jaring Klitik,0
Meureubo,2020,Jaring Klitik,540
Pante Ceureumen,2020,Jaring Klitik,0
Panton Reu,2020,Jaring Klitik,0
Sungai Mas,2020,Jaring Klitik,0
Johan Pahlawan,2020,Tramel Net,160
Samatiga,2020,Tramel Net,1040
Bubon,2020,Tramel Net,0
Arongan Lambalek,2020,Tramel Net,0
Woyla,2020,Tramel Net,0
Woyla Barat,2020,Tramel Net,0
Woyla Timur,2020,Tramel Net,0
Kaway XVI,2020,Tramel Net,0
Meureubo,2020,Tramel Net,540
Pante Ceureumen,2020,Tramel Net,0
Panton Reu,2020,Tramel Net,0
Sungai Mas,2020,Tramel Net,0
Johan Pahlawan,2020,Bagan Perahu,0
Samatiga,2020,Bagan Perahu,0
Bubon,2020,Bagan Perahu,0
Arongan Lambalek,2020,Bagan Perahu,0
Woyla,2020,Bagan Perahu,0
Woyla Barat,2020,Bagan Perahu,0
Woyla Timur,2020,Bagan Perahu,0
Kaway XVI,2020,Bagan Perahu,0
Meureubo,2020,Bagan Perahu,0
Pante Ceureumen,2020,Bagan Perahu,0
Panton Reu,2020,Bagan Perahu,0
Sungai Mas,2020,Bagan Perahu,0
Johan Pahlawan,2020,Bagan Tancap,0
Samatiga,2020,Bagan Tancap,0
Bubon,2020,Bagan Tancap,0
Arongan Lambalek,2020,Bagan Tancap,0
Woyla,2020,Bagan Tancap,0
Woyla Barat,2020,Bagan Tancap,0
Woyla Timur,2020,Bagan Tancap,0
Kaway XVI,2020,Bagan Tancap,0
Meureubo,2020,Bagan Tancap,0
Pante Ceureumen,2020,Bagan Tancap,0
Panton Reu,2020,Bagan Tancap,0
Sungai Mas,2020,Bagan Tancap,0
Johan Pahlawan,2020,Rawai,0
Samatiga,2020,Rawai,0
Bubon,2020,Rawai,0
Arongan Lambalek,2020,Rawai,0
Woyla,2020,Rawai,0
Woyla Barat,2020,Rawai,0
Woyla Timur,2020,Rawai,0
Kaway XVI,2020,Rawai,0
Meureubo,2020,Rawai,0
Pante Ceureumen,2020,Rawai,0
Panton Reu,2020,Rawai,0
Sungai Mas,2020,Rawai,0
Johan Pahlawan,2020,Pancing Tonda,409
Samatiga,2020,Pancing Tonda,0
Bubon,2020,Pancing Tonda,0
Arongan Lambalek,2020,Pancing Tonda,0
Woyla,2020,Pancing Tonda,0
Woyla Barat,2020,Pancing Tonda,0
Woyla Timur,2020,Pancing Tonda,0
Kaway XVI,2020,Pancing Tonda,0
Meureubo,2020,Pancing Tonda,0
Pante Ceureumen,2020,Pancing Tonda,0
Panton Reu,2020,Pancing Tonda,0
Sungai Mas,2020,Pancing Tonda,0
Johan Pahlawan,2021,Pukat Payang,12
Samatiga,2021,Pukat Payang,0
Bubon,2021,Pukat Payang,0
Arongan Lambalek,2021,Pukat Payang,0
Woyla,2021,Pukat Payang,0
Woyla Barat,2021,Pukat Payang,0
Woyla Timur,2021,Pukat Payang,0
Kaway XVI,2021,Pukat Payang,0
Meureubo,2021,Pukat Payang,0
Pante Ceureumen,2021,Pukat Payang,0
Panton Reu,2021,Pukat Payang,0
Sungai Mas,2021,Pukat Payang,0
Johan Pahlawan,2021,Pukat Pantai,7
Samatiga,2021,Pukat Pantai,2
Bubon,2021,Pukat Pantai,0
Arongan Lambalek,2021,Pukat Pantai,0
Woyla,2021,Pukat Pantai,0
Woyla Barat,2021,Pukat Pantai,0
Woyla Timur,2021,Pukat Pantai,0
Kaway XVI,2021,Pukat Pantai,0
Meureubo,2021,Pukat Pantai,0
Pante Ceureumen,2021,Pukat Pantai,0
Panton Reu,2021,Pukat Pantai,0
Sungai Mas,2021,Pukat Pantai,0
Johan Pahlawan,2021,Jaring Hanyut,25
Samatiga,2021,Jaring Hanyut,110
Bubon,2021,Jaring Hanyut,30
Arongan Lambalek,2021,Jaring Hanyut,97
Woyla,2021,Jaring Hanyut,47
Woyla Barat,2021,Jaring Hanyut,366
Woyla Timur,2021,Jaring Hanyut,70
Kaway XVI,2021,Jaring Hanyut,104
Meureubo,2021,Jaring Hanyut,74
Pante Ceureumen,2021,Jaring Hanyut,52
Panton Reu,2021,Jaring Hanyut,35
Sungai Mas,2021,Jaring Hanyut,32
Johan Pahlawan,2021,Jaring Klitik,60
Samatiga,2021,Jaring Klitik,240
Bubon,2021,Jaring Klitik,0
Arongan Lambalek,2021,Jaring Klitik,0
Woyla,2021,Jaring Klitik,0
Woyla Barat,2021,Jaring Klitik,374
Woyla Timur,2021,Jaring Klitik,0
Kaway XVI,2021,Jaring Klitik,0
Meureubo,2021,Jaring Klitik,541
Pante Ceureumen,2021,Jaring Klitik,0
Panton Reu,2021,Jaring Klitik,0
Sungai Mas,2021,Jaring Klitik,0
Johan Pahlawan,2021,Tramel Net,160
Samatiga,2021,Tramel Net,1040
Bubon,2021,Tramel Net,0
Arongan Lambalek,2021,Tramel Net,0
Woyla,2021,Tramel Net,0
Woyla Barat,2021,Tramel Net,0
Woyla Timur,2021,Tramel Net,0
Kaway XVI,2021,Tramel Net,0
Meureubo,2021,Tramel Net,0
Pante Ceureumen,2021,Tramel Net,0
Panton Reu,2021,Tramel Net,0
Sungai Mas,2021,Tramel Net,0
Johan Pahlawan,2021,Bagan Perahu,0
Samatiga,2021,Bagan Perahu,0
Bubon,2021,Bagan Perahu,0
Arongan Lambalek,2021,Bagan Perahu,0
Woyla,2021,Bagan Perahu,0
Woyla Barat,2021,Bagan Perahu,0
Woyla Timur,2021,Bagan Perahu,0
Kaway XVI,2021,Bagan Perahu,0
Meureubo,2021,Bagan Perahu,0
Pante Ceureumen,2021,Bagan Perahu,0
Panton Reu,2021,Bagan Perahu,0
Sungai Mas,2021,Bagan Perahu,0
Johan Pahlawan,2021,Bagan Tancap,0
Samatiga,2021,Bagan Tancap,0
Bubon,2021,Bagan Tancap,0
Arongan Lambalek,2021,Bagan Tancap,0
Woyla,2021,Bagan Tancap,0
Woyla Barat,2021,Bagan Tancap,0
Woyla Timur,2021,Bagan Tancap,0
Kaway XVI,2021,Bagan Tancap,0
Meureubo,2021,Bagan Tancap,0
Pante Ceureumen,2021,Bagan Tancap,0
Panton Reu,2021,Bagan Tancap,0
Sungai Mas,2021,Bagan Tancap,0
Johan Pahlawan,2021,Rawai,0
Samatiga,2021,Rawai,0
Bubon,2021,Rawai,0
Arongan Lambalek,2021,Rawai,0
Woyla,2021,Rawai,0
Woyla Barat,2021,Rawai,0
Woyla Timur,2021,Rawai,0
Kaway XVI,2021,Rawai,0
Meureubo,2021,Rawai,0
Pante Ceureumen,2021,Rawai,0
Panton Reu,2021,Rawai,0
Sungai Mas,2021,Rawai,0
Johan Pahlawan,2021,Pancing Tonda,409
Samatiga,2021,Pancing Tonda,0
Bubon,2021,Pancing Tonda,0
Arongan Lambalek,2021,Pancing Tonda,0
Woyla,2021,Pancing Tonda,0
Woyla Barat,2021,Pancing Tonda,0
Woyla Timur,2021,Pancing Tonda,0
Kaway XVI,2021,Pancing Tonda,0
Meureubo,2021,Pancing Tonda,0
Pante Ceureumen,2021,Pancing Tonda,0
Panton Reu,2021,Pancing Tonda,0
Sungai Mas,2021,Pancing Tonda,0
Johan Pahlawan,2022,Pukat Payang,12
Samatiga,2022,Pukat Payang,0
Bubon,2022,Pukat Payang,0
Arongan Lambalek,2022,Pukat Payang,0
Woyla,2022,Pukat Payang,0
Woyla Barat,2022,Pukat Payang,0
Woyla Timur,2022,Pukat Payang,0
Kaway XVI,2022,Pukat Payang,0
Meureubo,2022,Pukat Payang,0
Pante Ceureumen,2022,Pukat Payang,0
Panton Reu,2022,Pukat Payang,0
Sungai Mas,2022,Pukat Payang,0
Johan Pahlawan,2022,Pukat Pantai,7
Samatiga,2022,Pukat Pantai,2
Bubon,2022,Pukat Pantai,0
Arongan Lambalek,2022,Pukat Pantai,0
Woyla,2022,Pukat Pantai,0
Woyla Barat,2022,Pukat Pantai,0
Woyla Timur,2022,Pukat Pantai,0
Kaway XVI,2022,Pukat Pantai,0
Meureubo,2022,Pukat Pantai,0
Pante Ceureumen,2022,Pukat Pantai,0
Panton Reu,2022,Pukat Pantai,0
Sungai Mas,2022,Pukat Pantai,0
Johan Pahlawan,2022,Jaring Hanyut,28
Samatiga,2022,Jaring Hanyut,113
Bubon,2022,Jaring Hanyut,32
Arongan Lambalek,2022,Jaring Hanyut,97
Woyla,2022,Jaring Hanyut,47
Woyla Barat,2022,Jaring Hanyut,65
Woyla Timur,2022,Jaring Hanyut,70
Kaway XVI,2022,Jaring Hanyut,104
Meureubo,2022,Jaring Hanyut,72
Pante Ceureumen,2022,Jaring Hanyut,52
Panton Reu,2022,Jaring Hanyut,35
Sungai Mas,2022,Jaring Hanyut,32
Johan Pahlawan,2022,Jaring Klitik,61
Samatiga,2022,Jaring Klitik,242
Bubon,2022,Jaring Klitik,0
Arongan Lambalek,2022,Jaring Klitik,0
Woyla,2022,Jaring Klitik,0
Woyla Barat,2022,Jaring Klitik,374
Woyla Timur,2022,Jaring Klitik,0
Kaway XVI,2022,Jaring Klitik,0
Meureubo,2022,Jaring Klitik,541
Pante Ceureumen,2022,Jaring Klitik,0
Panton Reu,2022,Jaring Klitik,0
Sungai Mas,2022,Jaring Klitik,0
Johan Pahlawan,2022,Tramel Net,172
Samatiga,2022,Tramel Net,1034
Bubon,2022,Tramel Net,0
Arongan Lambalek,2022,Tramel Net,60
Woyla,2022,Tramel Net,0
Woyla Barat,2022,Tramel Net,0
Woyla Timur,2022,Tramel Net,0
Kaway XVI,2022,Tramel Net,0
Meureubo,2022,Tramel Net,100
Pante Ceureumen,2022,Tramel Net,0
Panton Reu,2022,Tramel Net,0
Sungai Mas,2022,Tramel Net,0
Johan Pahlawan,2022,Bagan Perahu,0
Samatiga,2022,Bagan Perahu,0
Bubon,2022,Bagan Perahu,0
Arongan Lambalek,2022,Bagan Perahu,0
Woyla,2022,Bagan Perahu,0
Woyla Barat,2022,Bagan Perahu,0
Woyla Timur,2022,Bagan Perahu,0
Kaway XVI,2022,Bagan Perahu,0
Meureubo,2022,Bagan Perahu,0
Pante Ceureumen,2022,Bagan Perahu,0
Panton Reu,2022,Bagan Perahu,0
Sungai Mas,2022,Bagan Perahu,0
Johan Pahlawan,2022,Bagan Tancap,0
Samatiga,2022,Bagan Tancap,0
Bubon,2022,Bagan Tancap,0
Arongan Lambalek,2022,Bagan Tancap,0
Woyla,2022,Bagan Tancap,0
Woyla Barat,2022,Bagan Tancap,0
Woyla Timur,2022,Bagan Tancap,0
Kaway XVI,2022,Bagan Tancap,0
Meureubo,2022,Bagan Tancap,0
Pante Ceureumen,2022,Bagan Tancap,0
Panton Reu,2022,Bagan Tancap,0
Sungai Mas,2022,Bagan Tancap,0
Johan Pahlawan,2022,Rawai,0
Samatiga,2022,Rawai,0
Bubon,2022,Rawai,0
Arongan Lambalek,2022,Rawai,0
Woyla,2022,Rawai,0
Woyla Barat,2022,Rawai,0
Woyla Timur,2022,Rawai,0
Kaway XVI,2022,Rawai,0
Meureubo,2022,Rawai,0
Pante Ceureumen,2022,Rawai,0
Panton Reu,2022,Rawai,0
Sungai Mas,2022,Rawai,0
Johan Pahlawan,2022,Pancing Tonda,415
Samatiga,2022,Pancing Tonda,0
Bubon,2022,Pancing Tonda,0
Arongan Lambalek,2022,Pancing Tonda,0
Woyla,2022,Pancing Tonda,0
Woyla Barat,2022,Pancing Tonda,0
Woyla Timur,2022,Pancing Tonda,0
Kaway XVI,2022,Pancing Tonda,2
Meureubo,2022,Pancing Tonda,38
Pante Ceureumen,2022,Pancing Tonda,1
Panton Reu,2022,Pancing Tonda,0
Sungai Mas,2022,Pancing Tonda,0
