Komoditas,Jenis,Tahun,Produksi (Ton)
Bandeng,Kolam Air Tenang,2020,0
Kerang lokan,Kolam Air Tenang,2020,0
Lele,Kolam Air Tenang,2020,57280
Mas,Kolam Air Tenang,2020,11880
Nila,Kolam Air Tenang,2020,52590
Patin,Kolam Air Tenang,2020,0
Udang vaname,Kolam Air Tenang,2020,0
Bandeng,Keramba,2020,0
Kerang lokan,Keramba,2020,0
Lele,Keramba,2020,0
Mas,Keramba,2020,0
Nila,Keramba,2020,0
Patin,Keramba,2020,0
Udang vaname,Keramba,2020,0
Bandeng,Tambak Sederhana,2020,460
Kerang lokan,Tambak Sederhana,2020,186610
Lele,Tambak Sederhana,2020,0
Mas,Tambak Sederhana,2020,0
Nila,Tambak Sederhana,2020,1400
Patin,Tambak Sederhana,2020,0
Udang vaname,Tambak Sederhana,2020,340
Bandeng,Tambak Semi Intensif,2020,2630
Kerang lokan,Tambak Semi Intensif,2020,0
Lele,Tambak Semi Intensif,2020,0
Mas,Tambak Semi Intensif,2020,0
Nila,Tambak Semi Intensif,2020,11120
Patin,Tambak Semi Intensif,2020,0
Udang vaname,Tambak Semi Intensif,2020,6400
Bandeng,Tambak Intensif,2020,0
Kerang lokan,Tambak Intensif,2020,0
Lele,Tambak Intensif,2020,0
Mas,Tambak Intensif,2020,0
Nila,Tambak Intensif,2020,0
Patin,Tambak Intensif,2020,0
Udang vaname,Tambak Intensif,2020,331540
Bandeng,Kolam Air Tenang,2021,0
Kerang lokan,Kolam Air Tenang,2021,0
Lele,Kolam Air Tenang,2021,62510
Mas,Kolam Air Tenang,2021,11020
Nila,Kolam Air Tenang,2021,58380
Patin,Kolam Air Tenang,2021,0
Udang vaname,Kolam Air Tenang,2021,0
Bandeng,Keramba,2021,0
Kerang lokan,Keramba,2021,0
Lele,Keramba,2021,0
Mas,Keramba,2021,0
Nila,Keramba,2021,0
Patin,Keramba,2021,0
Udang vaname,Keramba,2021,0
Bandeng,Tambak Sederhana,2021,560
Kerang lokan,Tambak Sederhana,2021,189120
Lele,Tambak Sederhana,2021,0
Mas,Tambak Sederhana,2021,0
Nila,Tambak Sederhana,2021,1400
Patin,Tambak Sederhana,2021,0
Udang vaname,Tambak Sederhana,2021,390
Bandeng,Tambak Semi Intensif,2021,2930
Kerang lokan,Tambak Semi Intensif,2021,0
Lele,Tambak Semi Intensif,2021,0
Mas,Tambak Semi Intensif,2021,0
Nila,Tambak Semi Intensif,2021,11370
Patin,Tambak Semi Intensif,2021,0
Udang vaname,Tambak Semi Intensif,2021,6520
Bandeng,Tambak Intensif,2021,0
Kerang lokan,Tambak Intensif,2021,0
Lele,Tambak Intensif,2021,0
Mas,Tambak Intensif,2021,0
Nila,Tambak Intensif,2021,0
Patin,Tambak Intensif,2021,0
Udang vaname,Tambak Intensif,2021,421520
Bandeng,Kolam Air Tenang,2022,0
Kerang lokan,Kolam Air Tenang,2022,0
Lele,Kolam Air Tenang,2022,65370
Mas,Kolam Air Tenang,2022,8450
Nila,Kolam Air Tenang,2022,48420
Patin,Kolam Air Tenang,2022,2660
Udang vaname,Kolam Air Tenang,2022,0
Bandeng,Keramba,2022,0
Kerang lokan,Keramba,2022,165966
Lele,Keramba,2022,0
Mas,Keramba,2022,0
Nila,Keramba,2022,0
Patin,Keramba,2022,0
Udang vaname,Keramba,2022,0
Bandeng,Tambak Sederhana,2022,3258
Kerang lokan,Tambak Sederhana,2022,21746
Lele,Tambak Sederhana,2022,0
Mas,Tambak Sederhana,2022,0
Nila,Tambak Sederhana,2022,22000
Patin,Tambak Sederhana,2022,0
Udang vaname,Tambak Sederhana,2022,0
Bandeng,Tambak Semi Intensif,2022,0
Kerang lokan,Tambak Semi Intensif,2022,0
Lele,Tambak Semi Intensif,2022,0
Mas,Tambak Semi Intensif,2022,0
Nila,Tambak Semi Intensif,2022,0
Patin,Tambak Semi Intensif,2022,0
Udang vaname,Tambak Semi Intensif,2022,15100
Bandeng,Tambak Intensif,2022,0
Kerang lokan,Tambak Intensif,2022,0
Lele,Tambak Intensif,2022,0
Mas,Tambak Intensif,2022,0
Nila,Tambak Intensif,2022,0
Patin,Tambak Intensif,2022,0
Udang vaname,Tambak Intensif,2022,420400
