Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Budidaya Laut,Johan Pahlawan,2015,0,0
Budidaya Laut,Samatiga,2015,0,0
Budidaya Laut,Bubon,2015,0,0
Budidaya Laut,Arongan Lambalek,2015,0,0
Budidaya Laut,Woyla,2015,0,0
Budidaya Laut,Woyla Barat,2015,0,0
Budidaya Laut,Woyla Timur,2015,0,0
Budidaya Laut,Kaway XVI,2015,0,0
Budidaya Laut,Meureubo,2015,0,0
Budidaya Laut,Pante Ceureumen,2015,0,0
Budidaya Laut,Panton Reu,2015,0,0
Budidaya Laut,Sungai Mas,2015,0,0
Tambak,Johan Pahlawan,2015,0,0
Tambak,Samatiga,2015,40,0
Tambak,Bubon,2015,0,0
Tambak,Arongan Lambalek,2015,0,0
Tambak,Woyla,2015,0,0
Tambak,Woyla Barat,2015,0,0
Tambak,Woyla Timur,2015,0,0
Tambak,Kaway XVI,2015,0,0
Tambak,Meureubo,2015,0,0
Tambak,Pante Ceureumen,2015,0,0
Tambak,Panton Reu,2015,0,0
Tambak,Sungai Mas,2015,0,0
Kolam Air Tawar,Johan Pahlawan,2015,36,0
Kolam Air Tawar,Samatiga,2015,78,0
Kolam Air Tawar,Bubon,2015,20,0
Kolam Air Tawar,Arongan Lambalek,2015,30,0
Kolam Air Tawar,Woyla,2015,35,0
Kolam Air Tawar,Woyla Barat,2015,19,0
Kolam Air Tawar,Woyla Timur,2015,13,0
Kolam Air Tawar,Kaway XVI,2015,88,0
Kolam Air Tawar,Meureubo,2015,70,0
Kolam Air Tawar,Pante Ceureumen,2015,55,0
Kolam Air Tawar,Panton Reu,2015,89,0
Kolam Air Tawar,Sungai Mas,2015,45,0
Keramba Tancap,Johan Pahlawan,2015,2,0
Keramba Tancap,Samatiga,2015,2,0
Keramba Tancap,Bubon,2015,0,0
Keramba Tancap,Arongan Lambalek,2015,0,0
Keramba Tancap,Woyla,2015,0,0
Keramba Tancap,Woyla Barat,2015,0,0
Keramba Tancap,Woyla Timur,2015,0,0
Keramba Tancap,Kaway XVI,2015,15,0
Keramba Tancap,Meureubo,2015,60,0
Keramba Tancap,Pante Ceureumen,2015,0,0
Keramba Tancap,Panton Reu,2015,0,0
Keramba Tancap,Sungai Mas,2015,0,0
Keramba Jaring Apung,Johan Pahlawan,2015,0,0
Keramba Jaring Apung,Samatiga,2015,18,0
Keramba Jaring Apung,Bubon,2015,0,0
Keramba Jaring Apung,Arongan Lambalek,2015,0,0
Keramba Jaring Apung,Woyla,2015,0,0
Keramba Jaring Apung,Woyla Barat,2015,0,0
Keramba Jaring Apung,Woyla Timur,2015,0,0
Keramba Jaring Apung,Kaway XVI,2015,0,0
Keramba Jaring Apung,Meureubo,2015,6,0
Keramba Jaring Apung,Pante Ceureumen,2015,4,0
Keramba Jaring Apung,Panton Reu,2015,0,0
Keramba Jaring Apung,Sungai Mas,2015,0,0
Minapadi,Johan Pahlawan,2015,0,0
Minapadi,Samatiga,2015,0,0
Minapadi,Bubon,2015,0,0
Minapadi,Arongan Lambalek,2015,0,0
Minapadi,Woyla,2015,0,0
Minapadi,Woyla Barat,2015,0,0
Minapadi,Woyla Timur,2015,0,0
Minapadi,Kaway XVI,2015,0,0
Minapadi,Meureubo,2015,0,0
Minapadi,Pante Ceureumen,2015,0,0
Minapadi,Panton Reu,2015,0,0
Minapadi,Sungai Mas,2015,0,0
Budidaya Laut,Johan Pahlawan,2016,0,0
Budidaya Laut,Samatiga,2016,0,0
Budidaya Laut,Bubon,2016,0,0
Budidaya Laut,Arongan Lambalek,2016,0,0
Budidaya Laut,Woyla,2016,0,0
Budidaya Laut,Woyla Barat,2016,0,0
Budidaya Laut,Woyla Timur,2016,0,0
Budidaya Laut,Kaway XVI,2016,0,0
Budidaya Laut,Meureubo,2016,0,0
Budidaya Laut,Pante Ceureumen,2016,0,0
Budidaya Laut,Panton Reu,2016,0,0
Budidaya Laut,Sungai Mas,2016,0,0
Tambak,Johan Pahlawan,2016,0,0
Tambak,Samatiga,2016,40,351970
Tambak,Bubon,2016,0,0
Tambak,Arongan Lambalek,2016,0,0
Tambak,Woyla,2016,0,0
Tambak,Woyla Barat,2016,0,0
Tambak,Woyla Timur,2016,0,0
Tambak,Kaway XVI,2016,0,0
Tambak,Meureubo,2016,10,30310
Tambak,Pante Ceureumen,2016,0,0
Tambak,Panton Reu,2016,0,0
Tambak,Sungai Mas,2016,0,0
Kolam Air Tawar,Johan Pahlawan,2016,36,25100
Kolam Air Tawar,Samatiga,2016,98,18080
Kolam Air Tawar,Bubon,2016,20,18460
Kolam Air Tawar,Arongan Lambalek,2016,30,5440
Kolam Air Tawar,Woyla,2016,45,16330
Kolam Air Tawar,Woyla Barat,2016,19,7070
Kolam Air Tawar,Woyla Timur,2016,13,13360
Kolam Air Tawar,Kaway XVI,2016,88,9540
